     time_period  economy_id theta_n theta
   1           2          15  -5.4660669892279996     
   1           2          16  -5.8485752696919402     
   1           2          17  -7.1772097597424898     
   1           2          18  0.80812545446172801     
   1           2          19   29.325252195661001     
   1           2          20   11.048203641174100     
   1           2          21  0.25000000000000000     
   1           2          22 -0.10000000000000001     
   1           2          23   34.156588214723399     
   1           2          24   35.936447662758901     
   1           2          25   38.214235464118403     
   1           2          26   42.218412293438398     
   1           2          27   48.265078319142397     
   1           2          28   53.929941626755600     
   1           2          29   5.7518575851740801     
   1           2          30   17.595412287336600     
   1           2          31   17.758846457969000     
   1           2          32   23.889801371114700     
   1           2          33   20.465767444151599     
   1           2          34   10.976122352995400     
   1           2          35   11.982487220448601     
   1           2          36   17.944658234189600     
   1           2          37   23.188274304149999     
   1           2          38   30.407071922122100     
   1           2          39   37.475560885230898     
   1           2          40   19.497307070174401     
   1           2          41  -19.857195703784164     
   1           2          42  -54.870414649598303     
   1           2          43   1258.4535757442600     
   1           2          44   531.01482053029804     
   1           2          45  -45.502673251342500     
   1           2          46  -9.1992373502642106     
   1           2          47  -523.99021213294998     
   1           2          48   1132.8529804634200     
   1           2          49   70.768726796308400     
   1           2          50   41.832441142017103     
   1           2          51   8.1839670002925597     
   1           2          52   42.210587146771402     
   1           2          53   29.779247293112899     
   1           2          54   7.6750996320096396     
   1           2          55   48.567855046416902     
   1           2          56   34.796484994636202     
   1           2          57  0.34808884489793901     
   1           2          58   35.078251914264897     
   1           2          59   22.683345614612900     
   1           2          60   3.8781795886850299     
   1           2          61   251.46588342846499     
   1           2          62   239.91518013588001     
   2           1           1   3.4806445824302998     
   2           1           2  -2.2668026046141501     
   2           1           3 -0.27251296350393800     
   2           1           4  0.56044767243231897     
   2           1           5  -7.1022861725114406E-002
   2           1           6 -0.34060279935799997     
   2           1           7  0.52692064373091696     
   2           1           8 -0.11308630511199901     
   2           1           9   2.1309858780692399     
   2           1          10   5.7348054064535301     
   2           1          11  0.84749095625656201     
   2           1          12   7.2772122659627696     
   2           1          13 -0.67803210978806405     
   2           1          14  -4.0038802086610001     
   2           1          15  -5.6855939761960403     
   2           1          16  -6.0713588792937596     
   2           1          17  -7.0594187490717699     
   2           1          18  0.88558971302672895     
   2           1          19   30.567895635080401     
   2           1          20   11.379754553380700     
   2           1          21  0.25000000000000000     
   2           1          22 -0.10000000000000001     
   2           1          23   35.088559928892117     
   2           1          24   22.851353231104255     
   2           1          25   39.779619683339106     
   2           1          26   43.686237667236604     
   2           1          27   36.805575105187089     
   2           1          28   56.104199664811240     
   2           1          29   5.8786012598349382     
   2           1          30   20.635258840480063     
   2           1          31   15.728585546387563     
   2           1          32   29.055699435898195     
   2           1          33   23.208588669184117     
   2           1          34   10.582847601469547     
   2           1          35   12.552934569774518     
   2           1          36   16.902587862059125     
   2           1          37   24.484533621413199     
   2           1          38   29.881487674419102     
   2           1          39   37.863213707702222     
   2           1          40   17.727361265289719     
   2           1          41  -60.052926526218108     
   2           1          42  -44.858997559076222     
   2           1          43   1407.1940193073438     
   2           1          44   658.72082551453184     
   2           1          45  -35.661763689112256     
   2           1          46  -7.1532947467155639     
   2           1          47  -722.40353660509948     
   2           1          48   841.10515074049715     
   2           1          49   30.102077959849723     
   2           1          50   48.947263591118016     
   2           1          51   8.3598347472083674     
   2           1          52   32.303597126541199     
   2           1          53   35.532593157874473     
   2           1          54   9.7583902999709569     
   2           1          55   70.239315709522359     
   2           1          56   42.635840028264170     
   2           1          57  0.35879983524714348     
   2           1          58   61.504412804841785     
   2           1          59   26.257707502801985     
   2           1          60   5.3111906431723881     
   2           1          61   252.52573572085890     
   2           1          62   260.82652820568541     
   2           2           1   3.4663667702725500     
   2           2           2  -2.2046190691448202     
   2           2           3 -0.27218241980619001     
   2           2           4  0.58512653003387805     
   2           2           5  -6.9281025182084094E-002
   2           2           6 -0.37032494342219202     
   2           2           7  0.52858438960011900     
   2           2           8 -0.12939833236223500     
   2           2           9   2.1121470281801500     
   2           2          10   5.6286497773471398     
   2           2          11  0.79533009668632904     
   2           2          12   7.3772508389533602     
   2           2          13 -0.67419098016908197     
   2           2          14  -4.0651952285844999     
   2           2          15  -5.6367987833187296     
   2           2          16  -6.0339831060168700     
   2           2          17  -7.2141775577849501     
   2           2          18   1.1537580060562000     
   2           2          19   31.301565162037299     
   2           2          20   11.241031402371400     
   2           2          21  0.25000000000000000     
   2           2          22 -0.10000000000000001     
   2           2          23   35.450896508682739     
   2           2          24   22.802949425552519     
   2           2          25   39.591753546370114     
   2           2          26   43.722544928741854     
   2           2          27   36.927667185282580     
   2           2          28   55.779695836781080     
   2           2          29   6.0042961843293359     
   2           2          30   21.384197716568984     
   2           2          31   15.258378365650978     
   2           2          32   27.520277825508582     
   2           2          33   21.960990809321800     
   2           2          34   11.316491451802481     
   2           2          35   14.135643312027121     
   2           2          36   18.950311912473900     
   2           2          37   26.363698498088056     
   2           2          38   32.252945220453206     
